code,species,taxon
BRPE,BrownPelican, bird
BRCO,Brandt, bird
PALO,PacificLoon, bird
BFAL,Black-footedAlbatross, bird
NOFU,NorthernFulmar, bird
STSH,Short-tailedShearwater, bird
BVSH,Black-ventedShearwater, bird
LHSP,Leach, bird
FTSP,Fork-tailedStorm-Petrel, bird
PECO,PelagicCormorant, bird
RTLO,Red-throatedLoon, bird
REPH,RedPhalarope, bird
RNPL,Red-neckedPhalarope, bird
EAGR,EaredGrebe, bird
WEGR,WesternGrebe, bird
CLGR,ClarksGrebe, bird
POJA,PomarineJaeger, bird
LTJA,Long-tailedJaeger, bird
HEEG,Heermann'sGull, bird
HEGU,HerringGull, bird
GWGU,Glaucus-wingedGull, bird
WEGU,WesternGull, bird
CAGU,CaliforniaGull, bird
BOGU,Bonaparte, bird
ROTE,RoyalTern, bird
BLKI,Black-leggedKittiwake, bird
COMU,CommonMurre, bird
RHAU,RhinocerosAuklet, bird
CAAU,CassinsAuklet, bird
HYGU,HybridGull, bird
WE/CLGR,WesternorClarksGrebe, bird
GW/WEGU,Glaucus-wingedorWesternGull, bird
UnIDAlcids,UnidentifiedAlcids, bird
TernSpp,Ternspecies, bird
JaegarSpp,Jaegarspecies, bird
PhalSpp,Phalaropespecies, bird
UNCE,unknowndolphin, mammal
CBWH,Cuviersbeakedwhale, mammal
BBWH,BairdsbeakedwhaleorBlainville'sbeakedwhale, mammal
BLWH,Bluewhale, mammal
FIWH,Finwhale, mammal
SEWH,Seiwhale, mammal
HUWH,Humpbackwhale, mammal
SPWH,Spermwhale, mammal
MIWH,Minkewhale, mammal
GRWH,Graywhale, mammal
PSWH,Pygmyspermwhale, mammal
DSWH,dwarfspermwhale, mammal
UNWH,Unknownwhale, mammal
KIWH,Killerwhale, mammal
PIWH/SFP,Shortfinnedpilotwhale, mammal
FKWH,Falsekillerwhale, mammal
CODO,Commondolphin, mammal
LBCD,Long-beakedcommondolphin, mammal
SBCD,Short-beakedcommondolphin, mammal
PWSD,Pacificwhite-sideddolphin, mammal
RIDO,Risso,
NRWD,Northernrightwhaledolphin, mammal
BODO,Bottlenosedolphin, mammal
STDO,Stripeddolphin, mammal
UNDO,Unknowndophin, mammal
CAPO,Dallsporpoise, mammal
HAPO,Harborporpoise, mammal
HASE,Harborseal, mammal
CASL,Californiasealion, mammal
GFSE,Guadalupefurseal, mammal
NESE,Northernelephantseal, mammal
NFSE,Northernfurseal, mammal
UNPI,Unknownpinniped, mammal
